emp_id,name,age,gender,department,salary,experience
EMP-101,Evan Wright 1,50,Other,Finance,106820,18
EMP-102,Evan Wright 2,32,Other,Sales,74131,23
EMP-103,Alice Johnson 3,43,Male,HR,89735,29
EMP-104,Diana Prince 4,23,Male,IT,83707,21
EMP-105,Charlie Davis 5,46,Male,Finance,55658,27
EMP-106,Bob Brown 6,37,Other,Operations,114654,2
EMP-107,Charlie Davis 7,28,Male,IT,110038,17
EMP-108,Bob Brown 8,46,Female,HR,73001,8
EMP-109,Jane Smith 9,23,Other,Marketing,78555,7
EMP-110,Evan Wright 10,56,Female,IT,97121,3
EMP-111,Jane Smith 11,27,Female,HR,82995,28
EMP-112,Evan Wright 12,39,Female,Marketing,95697,9
EMP-113,Diana Prince 13,57,Female,Operations,31016,20
EMP-114,Fiona Hill 14,39,Other,Sales,116807,25
EMP-115,John Doe 15,50,Other,Sales,78984,6
EMP-116,John Doe 16,45,Male,Marketing,32695,23
EMP-117,Evan Wright 17,32,Other,IT,63159,34
EMP-118,Alice Johnson 18,54,Other,Sales,33561,27
EMP-119,Evan Wright 19,30,Female,IT,119135,22
EMP-120,Diana Prince 20,45,Male,Finance,114651,21
EMP-121,Alice Johnson 21,56,Male,Finance,38110,13
EMP-122,Alice Johnson 22,22,Male,HR,36910,13
EMP-123,Evan Wright 23,48,Male,HR,53419,12
EMP-124,Alice Johnson 24,53,Other,IT,84268,31
EMP-125,Bob Brown 25,51,Male,Sales,97214,28
EMP-126,Bob Brown 26,34,Other,Finance,52299,1
EMP-127,Jane Smith 27,27,Female,Operations,51834,27
EMP-128,John Doe 28,54,Male,IT,96842,12
EMP-129,John Doe 29,24,Other,Operations,51959,26
EMP-130,John Doe 30,58,Male,Finance,43545,23
EMP-131,Evan Wright 31,53,Male,Marketing,84384,11
EMP-132,Diana Prince 32,23,Other,IT,97172,16
EMP-133,Alice Johnson 33,23,Female,Marketing,30854,31
EMP-134,John Doe 34,22,Other,Operations,117092,25
EMP-135,Fiona Hill 35,27,Other,Marketing,82662,10
EMP-136,Fiona Hill 36,38,Other,Operations,97863,4
EMP-137,Bob Brown 37,55,Female,Operations,64698,15
EMP-138,John Doe 38,30,Other,Operations,81663,28
EMP-139,Alice Johnson 39,41,Other,Marketing,102082,25
EMP-140,Alice Johnson 40,40,Other,Marketing,38680,32
EMP-141,Fiona Hill 41,39,Male,Finance,38155,24
EMP-142,Jane Smith 42,44,Other,Operations,90713,34
EMP-143,Evan Wright 43,37,Female,IT,46371,1
EMP-144,John Doe 44,33,Male,Sales,59855,8
EMP-145,John Doe 45,56,Other,Finance,34499,23
EMP-146,Diana Prince 46,54,Other,IT,62711,19
EMP-147,Diana Prince 47,56,Female,IT,112018,24
EMP-148,Charlie Davis 48,39,Female,HR,107505,34
EMP-149,Fiona Hill 49,57,Male,Marketing,53328,13
EMP-150,Charlie Davis 50,41,Other,Finance,116416,32
